   Elapsed time	    ECG	domen_1	domen_2	domen_3	domen_4	domen_5
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	 -0.137	  0.453	  0.673	  0.264	  0.153	  0.073
       0:00.001	 -0.136	  0.636	  0.966	  0.381	  0.229	  0.119
       0:00.002	 -0.117	  0.729	  1.124	  0.446	  0.271	  0.147
       0:00.003	 -0.100	  0.757	  1.182	  0.471	  0.289	  0.163
       0:00.004	 -0.090	  0.745	  1.179	  0.472	  0.292	  0.171
       0:00.005	 -0.083	  0.712	  1.148	  0.461	  0.288	  0.175
       0:00.006	 -0.063	  0.676	  1.107	  0.447	  0.279	  0.175
       0:00.007	 -0.026	  0.642	  1.071	  0.431	  0.271	  0.173
       0:00.008	  0.029	  0.614	  1.041	  0.417	  0.262	  0.171
       0:00.009	  0.087	  0.592	  1.017	  0.405	  0.254	  0.168
       0:00.010	  0.146	  0.576	  0.999	  0.394	  0.247	  0.164
       0:00.011	  0.211	  0.561	  0.981	  0.383	  0.239	  0.162
       0:00.012	  0.283	  0.546	  0.963	  0.370	  0.230	  0.158
       0:00.013	  0.370	  0.530	  0.944	  0.357	  0.220	  0.154
       0:00.014	  0.468	  0.513	  0.924	  0.343	  0.210	  0.151
       0:00.015	  0.579	  0.496	  0.903	  0.330	  0.201	  0.147
       0:00.016	  0.697	  0.479	  0.885	  0.319	  0.194	  0.147
       0:00.017	  0.811	  0.463	  0.871	  0.311	  0.191	  0.150
       0:00.018	  0.906	  0.446	  0.858	  0.306	  0.190	  0.156
       0:00.019	  0.979	  0.430	  0.848	  0.303	  0.192	  0.164
       0:00.020	  1.049	  0.414	  0.840	  0.302	  0.196	  0.176
       0:00.021	  1.133	  0.399	  0.833	  0.303	  0.201	  0.188
       0:00.022	  1.225	  0.387	  0.829	  0.306	  0.210	  0.201
       0:00.023	  1.309	  0.377	  0.827	  0.311	  0.219	  0.215
       0:00.024	  1.382	  0.370	  0.826	  0.316	  0.230	  0.228
       0:00.025	  1.445	  0.363	  0.825	  0.320	  0.238	  0.239
       0:00.026	  1.497	  0.356	  0.822	  0.322	  0.246	  0.249
       0:00.027	  1.546	  0.352	  0.820	  0.322	  0.250	  0.255
       0:00.028	  1.591	  0.350	  0.816	  0.321	  0.251	  0.258
       0:00.029	  1.616	  0.352	  0.814	  0.321	  0.251	  0.259
       0:00.030	  1.619	  0.357	  0.812	  0.321	  0.249	  0.256
       0:00.031	  1.607	  0.364	  0.810	  0.320	  0.245	  0.251
       0:00.032	  1.572	  0.374	  0.807	  0.317	  0.241	  0.242
       0:00.033	  1.508	  0.384	  0.805	  0.315	  0.234	  0.231
