   Elapsed time	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
   hh:mm:ss.mmm	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)	   (mV)
       0:00.000	  2.105	  1.712	 -3.000	 -3.320	  1.183	 -0.964	  0.971	 -0.448	 -1.078	  0.359	  2.493	-107.082
       0:00.004	  2.101	  1.703	 -3.007	 -3.314	  1.183	 -0.971	  0.977	 -0.441	 -1.069	  0.366	  2.493	-107.082
       0:00.008	  2.095	  1.706	 -2.997	 -3.314	  1.176	 -0.964	  1.000	 -0.415	 -1.052	  0.379	  2.513	-107.082
       0:00.012	  2.078	  1.676	 -3.010	 -3.291	  1.173	 -0.987	  1.049	 -0.379	 -1.033	  0.376	  2.484	-107.082
       0:00.016	  1.984	  1.608	 -2.984	 -3.209	  1.114	 -1.007	  1.095	 -0.353	 -1.016	  0.376	  2.467	-107.082
       0:00.019	  1.895	  1.592	 -2.912	 -3.157	  1.033	 -0.980	  1.154	 -0.327	 -0.990	  0.389	  2.458	-107.082
       0:00.023	  1.928	  1.654	 -2.882	 -3.203	  1.036	 -0.935	  1.170	 -0.294	 -0.948	  0.431	  2.490	-107.082
       0:00.027	  2.016	  1.686	 -2.938	 -3.265	  1.108	 -0.944	  1.176	 -0.222	 -0.856	  0.523	  2.523	-107.082
       0:00.031	  2.072	  1.768	 -2.912	 -3.333	  1.121	 -0.892	  1.173	 -0.121	 -0.686	  0.725	  2.650	-107.082
       0:00.035	  2.235	  1.974	 -2.869	 -3.516	  1.183	 -0.768	  1.114	  0.033	 -0.412	  1.046	  2.886	-107.082
       0:00.039	  2.533	  2.190	 -2.951	 -3.771	  1.373	 -0.699	  0.961	  0.170	 -0.147	  1.376	  3.134	-107.082
       0:00.043	  2.791	  2.386	 -3.013	 -4.000	  1.533	 -0.634	  0.781	  0.265	  0.075	  1.667	  3.353	-107.082
       0:00.047	  3.036	  2.438	 -3.206	 -4.147	  1.752	 -0.703	  0.627	  0.389	  0.271	  1.892	  3.490	-107.082
       0:00.051	  3.193	  2.415	 -3.386	 -4.216	  1.922	 -0.804	  0.523	  0.412	  0.327	  1.954	  3.533	-107.082
       0:00.054	  3.013	  2.461	 -3.160	 -4.147	  1.719	 -0.670	  0.480	  0.105	  0.062	  1.732	  3.493	-107.082
       0:00.058	  2.676	  2.392	 -2.892	 -3.944	  1.415	 -0.569	  0.536	 -0.265	 -0.418	  1.268	  3.369	-107.082
       0:00.062	  2.480	  1.987	 -3.101	 -3.644	  1.422	 -0.876	  0.768	 -0.301	 -0.758	  0.781	  2.958	-107.082
       0:00.066	  2.359	  1.556	 -3.412	 -3.369	  1.516	 -1.248	  1.003	 -0.131	 -0.807	  0.565	  2.569	-107.082
       0:00.070	  2.291	  1.467	 -3.431	 -3.291	  1.490	 -1.301	  1.085	 -0.095	 -0.797	  0.549	  2.493	-107.082
       0:00.074	  2.268	  1.549	 -3.327	 -3.320	  1.428	 -1.209	  1.052	 -0.203	 -0.876	  0.507	  2.526	-107.082
       0:00.078	  2.268	  1.647	 -3.229	 -3.369	  1.379	 -1.111	  0.984	 -0.304	 -0.951	  0.458	  2.549	-107.082
       0:00.082	  2.222	  1.663	 -3.167	 -3.353	  1.324	 -1.072	  0.928	 -0.395	 -1.033	  0.395	  2.536	-107.082
       0:00.086	  2.163	  1.644	 -3.127	 -3.317	  1.275	 -1.062	  0.938	 -0.428	 -1.049	  0.386	  2.520	-107.082
       0:00.089	  2.127	  1.637	 -3.098	 -3.294	  1.242	 -1.049	  0.964	 -0.418	 -1.029	  0.395	  2.510	-107.082
       0:00.093	  2.114	  1.676	 -3.046	 -3.307	  1.209	 -1.003	  0.974	 -0.405	 -1.010	  0.415	  2.536	-107.082
       0:00.097	  2.105	  1.706	 -3.007	 -3.317	  1.186	 -0.971	  0.974	 -0.412	 -1.007	  0.418	  2.559	-107.082
       0:00.101	  2.095	  1.703	 -3.000	 -3.310	  1.176	 -0.967	  0.971	 -0.425	 -1.020	  0.402	  2.542	-107.082
       0:00.105	  2.056	  1.676	 -2.987	 -3.278	  1.150	 -0.974	  0.977	 -0.428	 -1.023	  0.395	  2.520	-107.082
       0:00.109	  2.056	  1.686	 -2.977	 -3.284	  1.147	 -0.964	  0.980	 -0.425	 -1.020	  0.395	  2.526	-107.082
       0:00.113	  2.065	  1.680	 -2.993	 -3.284	  1.160	 -0.977	  0.971	 -0.431	 -1.023	  0.389	  2.520	-107.082
       0:00.117	  2.052	  1.667	 -2.993	 -3.271	  1.154	 -0.984	  0.964	 -0.438	 -1.026	  0.386	  2.533	-107.082
       0:00.121	  2.065	  1.676	 -2.997	 -3.284	  1.160	 -0.980	  0.974	 -0.428	 -1.013	  0.402	  2.559	-107.082
       0:00.125	  2.105	  1.716	 -2.997	 -3.324	  1.180	 -0.961	  0.980	 -0.425	 -1.010	  0.399	  2.533	-107.082
       0:00.128	  2.075	  1.706	 -2.977	 -3.304	  1.157	 -0.954	  0.980	 -0.425	 -1.007	  0.405	  2.546	-107.082
