 Elapsed time	    ECG
   hh:mm:ss.mmm	   (mV)
       0:00.000	 -0.060
       0:00.010	 -0.065
       0:00.020	 -0.060
       0:00.030	 -0.075
       0:00.040	 -0.065
       0:00.050	 -0.070
       0:00.060	 -0.070
       0:00.070	 -0.090
       0:00.080	 -0.080
       0:00.090	 -0.095
       0:00.100	 -0.080
       0:00.110	 -0.095
       0:00.120	 -0.080
       0:00.130	 -0.095
       0:00.140	 -0.085
       0:00.150	 -0.090
       0:00.160	 -0.090
       0:00.170	 -0.100
       0:00.180	 -0.085
       0:00.190	 -0.105
       0:00.200	 -0.090
       0:00.210	 -0.045
       0:00.220	  0.005
       0:00.230	  0.015
       0:00.240	  0.045
       0:00.250	  0.155
       0:00.260	  0.140
       0:00.270	  0.045
       0:00.280	  0.005
       0:00.290	 -0.040
       0:00.300	 -0.085
       0:00.310	 -0.200
       0:00.320	 -0.195
       0:00.330	 -0.200
       0:00.340	 -0.200
       0:00.350	 -0.240
       0:00.360	 -0.130
       0:00.370	  0.340
       0:00.380	  1.155
       0:00.390	  1.470
       0:00.400	 -0.155
       0:00.410	 -0.825
       0:00.420	 -0.590
       0:00.430	 -0.350
       0:00.440	 -0.155
       0:00.450	 -0.170
       0:00.460	 -0.140
       0:00.470	 -0.155
       0:00.480	 -0.115
       0:00.490	 -0.125
       0:00.500	 -0.090
       0:00.510	 -0.095
       0:00.520	 -0.065
       0:00.530	 -0.055
       0:00.540	 -0.015
       0:00.550	 -0.005
       0:00.560	  0.035
       0:00.570	  0.045
       0:00.580	  0.090
       0:00.590	  0.110
       0:00.600	  0.150
       0:00.610	  0.180
       0:00.620	  0.205
       0:00.630	  0.225
       0:00.640	  0.230
       0:00.650	  0.220
       0:00.660	  0.235
       0:00.670	  0.230
       0:00.680	  0.200
       0:00.690	  0.170
       0:00.700	  0.120
       0:00.710	  0.075
       0:00.720	  0.040
       0:00.730	  0.020
       0:00.740	  0.005
       0:00.750	 -0.005
       0:00.760	 -0.005
       0:00.770	 -0.010
       0:00.780	 -0.015
       0:00.790	 -0.010
       0:00.800	  0.000
       0:00.810	 -0.005
       0:00.820	 -0.020
       0:00.830	 -0.020
       0:00.840	 -0.015
       0:00.850	 -0.025
       0:00.860	 -0.035
       0:00.870	 -0.045
       0:00.880	 -0.045
       0:00.890	 -0.060
       0:00.900	 -0.065
       0:00.910	 -0.070
       0:00.920	 -0.055
       0:00.930	 -0.060
       0:00.940	 -0.080
       0:00.950	 -0.075
       0:00.960	 -0.090
       0:00.970	 -0.065
       0:00.980	 -0.075
       0:00.990	 -0.080
       0:01.000	 -0.080
       0:01.010	 -0.085
       0:01.020	 -0.090
       0:01.030	 -0.075
       0:01.040	 -0.085
       0:01.050	 -0.095
       0:01.060	 -0.105
       0:01.070	 -0.090
       0:01.080	 -0.095
       0:01.090	 -0.070
       0:01.100	 -0.045
       0:01.110	  0.005
       0:01.120	  0.030
       0:01.130	  0.070
       0:01.140	  0.195
       0:01.150	  0.145
       0:01.160	  0.050
       0:01.170	 -0.015
       0:01.180	 -0.025
       0:01.190	 -0.115
       0:01.200	 -0.180
       0:01.210	 -0.190
       0:01.220	 -0.185
       0:01.230	 -0.185
       0:01.240	 -0.215
       0:01.250	  0.010
       0:01.260	  0.575
       0:01.270	  1.185
       0:01.280	  0.960
       0:01.290	 -0.160
       0:01.300	 -0.740
       0:01.310	 -0.640
       0:01.320	 -0.350
       0:01.330	 -0.175
       0:01.340	 -0.145
       0:01.350	 -0.150
       0:01.360	 -0.145
       0:01.370	 -0.105
       0:01.380	 -0.120
       0:01.390	 -0.090
       0:01.400	 -0.085
       0:01.410	 -0.070
       0:01.420	 -0.040
       0:01.430	 -0.020
       0:01.440	  0.005
       0:01.450	  0.020
       0:01.460	  0.045
       0:01.470	  0.080
       0:01.480	  0.115
       0:01.490	  0.140
       0:01.500	  0.165
       0:01.510	  0.210
       0:01.520	  0.190
       0:01.530	  0.220
       0:01.540	  0.210
       0:01.550	  0.215
       0:01.560	  0.215
       0:01.570	  0.160
       0:01.580	  0.135
       0:01.590	  0.100
       0:01.600	  0.050
       0:01.610	  0.035
       0:01.620	 -0.005
       0:01.630	  0.005
       0:01.640	 -0.005
       0:01.650	 -0.015
       0:01.660	 -0.020
       0:01.670	 -0.010
       0:01.680	  0.000
       0:01.690	 -0.020
       0:01.700	 -0.005
       0:01.710	 -0.040
       0:01.720	 -0.035
       0:01.730	 -0.050
       0:01.740	 -0.040
       0:01.750	 -0.055
       0:01.760	 -0.075
       0:01.770	 -0.050
       0:01.780	 -0.075
       0:01.790	 -0.090
       0:01.800	 -0.080
       0:01.810	 -0.090
       0:01.820	 -0.080
       0:01.830	 -0.075
       0:01.840	 -0.085
       0:01.850	 -0.085
       0:01.860	 -0.095
       0:01.870	 -0.095
       0:01.880	 -0.105
       0:01.890	 -0.080
       0:01.900	 -0.115
       0:01.910	 -0.100
       0:01.920	 -0.095
       0:01.930	 -0.100
       0:01.940	 -0.075
       0:01.950	 -0.005
       0:01.960	  0.010
       0:01.970	  0.055
       0:01.980	  0.185
       0:01.990	  0.145
       0:02.000	  0.075
       0:02.010	 -0.005
       0:02.020	 -0.025
       0:02.030	 -0.110
       0:02.040	 -0.175
       0:02.050	 -0.180
       0:02.060	 -0.220
       0:02.070	 -0.175
       0:02.080	 -0.240
       0:02.090	 -0.030
       0:02.100	  0.530
       0:02.110	  1.210
       0:02.120	  1.220
       0:02.130	 -0.105
       0:02.140	 -0.795
       0:02.150	 -0.690
       0:02.160	 -0.375
       0:02.170	 -0.165
       0:02.180	 -0.155
       0:02.190	 -0.135
       0:02.200	 -0.150
       0:02.210	 -0.120
       0:02.220	 -0.120
       0:02.230	 -0.090
       0:02.240	 -0.095
       0:02.250	 -0.050
       0:02.260	 -0.050
       0:02.270	 -0.010
       0:02.280	 -0.005
       0:02.290	  0.030
       0:02.300	  0.080
       0:02.310	  0.075
       0:02.320	  0.145
       0:02.330	  0.155
       0:02.340	  0.200
       0:02.350	  0.200
       0:02.360	  0.240
       0:02.370	  0.235
       0:02.380	  0.245
       0:02.390	  0.245
       0:02.400	  0.215
       0:02.410	  0.180
       0:02.420	  0.150
       0:02.430	  0.090
       0:02.440	  0.035
       0:02.450	  0.025
       0:02.460	  0.000
       0:02.470	 -0.015
       0:02.480	 -0.030
       0:02.490	  0.000
       0:02.500	 -0.020
       0:02.510	 -0.005
       0:02.520	 -0.025
       0:02.530	 -0.030
       0:02.540	 -0.015
       0:02.550	 -0.010
       0:02.560	 -0.035
       0:02.570	 -0.040
