   Elapsed time	   MLII	     V2
   hh:mm:ss.mmm	   (mV)	   (mV)
       0:00.000	 -0.375	  0.050
       0:00.003	 -0.375	  0.050
       0:00.006	 -0.375	  0.050
       0:00.008	 -0.375	  0.050
       0:00.011	 -0.375	  0.050
       0:00.014	 -0.375	  0.050
       0:00.017	 -0.375	  0.050
       0:00.019	 -0.375	  0.050
       0:00.022	 -0.385	  0.050
       0:00.025	 -0.385	  0.035
       0:00.028	 -0.385	  0.035
       0:00.031	 -0.380	  0.050
       0:00.033	 -0.360	  0.065
       0:00.036	 -0.360	  0.065
       0:00.039	 -0.370	  0.040
       0:00.042	 -0.365	  0.045
       0:00.044	 -0.370	  0.035
       0:00.047	 -0.360	  0.055
       0:00.050	 -0.355	  0.070
       0:00.053	 -0.345	  0.075
       0:00.056	 -0.340	  0.065
       0:00.058	 -0.345	  0.055
       0:00.061	 -0.345	  0.070
       0:00.064	 -0.330	  0.080
       0:00.067	 -0.325	  0.090
       0:00.069	 -0.310	  0.085
       0:00.072	 -0.305	  0.090
       0:00.075	 -0.310	  0.085
       0:00.078	 -0.310	  0.085
       0:00.081	 -0.300	  0.105
       0:00.083	 -0.280	  0.120
       0:00.086	 -0.250	  0.125
       0:00.089	 -0.250	  0.120
       0:00.092	 -0.245	  0.125
       0:00.094	 -0.235	  0.135
       0:00.097	 -0.220	  0.145
       0:00.100	 -0.195	  0.160
       0:00.103	 -0.165	  0.165
       0:00.106	 -0.160	  0.175
       0:00.108	 -0.160	  0.170
       0:00.111	 -0.135	  0.180
       0:00.114	 -0.120	  0.210
       0:00.117	 -0.090	  0.230
       0:00.119	 -0.060	  0.235
       0:00.122	 -0.045	  0.240
       0:00.125	 -0.035	  0.255
       0:00.128	 -0.015	  0.255
       0:00.131	  0.000	  0.275
       0:00.133	  0.030	  0.300
       0:00.136	  0.060	  0.295
       0:00.139	  0.070	  0.315
       0:00.142	  0.075	  0.315
       0:00.144	  0.075	  0.335
       0:00.147	  0.100	  0.350
       0:00.150	  0.110	  0.350
       0:00.153	  0.135	  0.355
       0:00.156	  0.130	  0.355
       0:00.158	  0.145	  0.350
       0:00.161	  0.135	  0.355
       0:00.164	  0.160	  0.370
       0:00.167	  0.165	  0.390
       0:00.169	  0.175	  0.395
       0:00.172	  0.185	  0.385
       0:00.175	  0.175	  0.370
       0:00.178	  0.165	  0.365
       0:00.181	  0.170	  0.380
       0:00.183	  0.160	  0.385
       0:00.186	  0.150	  0.375
       0:00.189	  0.140	  0.370
       0:00.192	  0.120	  0.345
       0:00.194	  0.085	  0.345
       0:00.197	  0.080	  0.335
       0:00.200	  0.070	  0.330
       0:00.203	  0.055	  0.310
       0:00.206	  0.020	  0.280
       0:00.208	 -0.005	  0.265
       0:00.211	 -0.050	  0.250
       0:00.214	 -0.065	  0.240
       0:00.217	 -0.085	  0.225
       0:00.219	 -0.095	  0.205
       0:00.222	 -0.125	  0.180
       0:00.225	 -0.145	  0.165
       0:00.228	 -0.165	  0.145
       0:00.231	 -0.175	  0.135
       0:00.233	 -0.185	  0.130
       0:00.236	 -0.205	  0.125
       0:00.239	 -0.215	  0.105
       0:00.242	 -0.220	  0.085
       0:00.244	 -0.230	  0.075
       0:00.247	 -0.245	  0.080
       0:00.250	 -0.240	  0.080
       0:00.253	 -0.245	  0.075
       0:00.256	 -0.245	  0.060
       0:00.258	 -0.265	  0.040
       0:00.261	 -0.265	  0.040
       0:00.264	 -0.265	  0.050
       0:00.267	 -0.260	  0.065
       0:00.269	 -0.255	  0.050
       0:00.272	 -0.270	  0.040
       0:00.275	 -0.265	  0.030
       0:00.278	 -0.275	  0.030
       0:00.281	 -0.265	  0.035
       0:00.283	 -0.275	  0.045
       0:00.286	 -0.265	  0.045
       0:00.289	 -0.270	  0.035
       0:00.292	 -0.265	  0.025
       0:00.294	 -0.280	  0.015
       0:00.297	 -0.285	  0.020
       0:00.300	 -0.275	  0.035
       0:00.303	 -0.260	  0.045
       0:00.306	 -0.250	  0.045
       0:00.308	 -0.265	  0.040
       0:00.311	 -0.270	  0.025
       0:00.314	 -0.265	  0.045
       0:00.317	 -0.240	  0.060
       0:00.319	 -0.245	  0.060
       0:00.322	 -0.250	  0.045
       0:00.325	 -0.250	  0.040
       0:00.328	 -0.255	  0.050
       0:00.331	 -0.240	  0.055
       0:00.333	 -0.230	  0.070
